Supplier_ID,sum,count,num_manual_edit,cause
12346,11.25395523,0.693147181,0,No issue with the invoice
12347,8.368925175,5.209486153,0,No issue with the invoice
12348,7.494563688,3.465735903,0,No issue with the invoice
12349,7.472244885,4.304065093,0,No issue with the invoice
12350,5.815323849,2.890371758,0,No issue with the invoice
12352,7.826858053,4.454347296,0,No issue with the invoice
12353,4.49980967,1.609437912,0,No issue with the invoice
12354,6.985086622,4.077537444,0,No issue with the invoice
12355,6.132095677,2.63905733,0,No issue with the invoice
12356,7.941804157,4.094344562,0,No issue with the invoice
12357,8.733701981,4.882801923,0,No issue with the invoice
12358,7.063955286,2.995732274,0,No issue with the invoice
12359,8.7599166,5.517452896,0,No issue with the invoice
12360,7.887231117,4.86753445,0,No issue with the invoice
12361,5.251749731,2.397895273,0,No issue with the invoice
12362,8.56163678,5.587248658,0,No issue with the invoice
12363,9.315358002,6.17805383,1,"Unknown ""Country"" due to ""Supplier not provided"""
12364,7.1809073,4.454347296,0,No issue with the invoice
12365,6.465180029,3.135494216,0,No issue with the invoice
12367,5.135210029,2.48490665,0,No issue with the invoice
12370,8.173770053,5.123963979,0,No issue with the invoice
12371,7.543781692,4.158883083,0,No issue with the invoice
12372,7.169380809,3.970291914,0,No issue with the invoice
12373,5.90153984,2.708050201,0,No issue with the invoice
12374,6.611946944,3.526360525,0,No issue with the invoice
12375,6.127960292,2.890371758,0,No issue with the invoice
12377,7.395795271,4.356708827,0,No issue with the invoice
12378,8.296451753,5.393627546,0,No issue with the invoice
12379,6.749040868,3.713572067,0,No issue with the invoice
12380,7.910520911,4.65396035,0,No issue with the invoice
12381,7.520944332,4.477336814,0,No issue with the invoice
12383,7.523783806,4.605170186,0,No issue with the invoice
12384,6.373780434,3.33220451,0,No issue with the invoice
12386,5.998688392,2.397895273,0,No issue with the invoice
12388,7.930803151,4.615120517,0,No issue with the invoice
12390,6.311444386,3.496507561,0,No issue with the invoice
12391,6.135326767,4.615120517,0,No issue with the invoice
12393,7.367456015,4.17438727,0,No issue with the invoice
12394,7.14950859,3.33220451,0,No issue with the invoice
12395,8.012889586,5.056245805,0,No issue with the invoice
12397,7.787755401,4.844187086,0,No issue with the invoice
12398,7.400412859,4.454347296,0,No issue with the invoice
12399,7.011799929,4.094344562,0,No issue with the invoice
12401,4.446174454,1.791759469,0,No issue with the invoice
12402,5.423186349,2.48490665,0,No issue with the invoice
12403,6.060757374,1.791759469,0,No issue with the invoice
12405,7.445061185,4.007333185,0,No issue with the invoice
12406,8.136313373,4.663439094,0,No issue with the invoice
12407,7.443733897,4.356708827,0,No issue with the invoice
12408,7.96885606,4.663439094,0,No issue with the invoice
12409,9.312325497,4.700480366,0,No issue with the invoice
12410,6.542947352,3.295836866,0,No issue with the invoice
12412,7.113044384,4.127134385,0,No issue with the invoice
12413,6.632133521,3.663561646,0,No issue with the invoice
12414,6.334007605,2.944438979,0,No issue with the invoice
12415,11.73539303,6.575075841,0,No issue with the invoice
12417,8.202509843,5.262690189,0,No issue with the invoice
12418,6.50665065,3.555348061,0,No issue with the invoice
12420,6.399243643,3.401197382,0,No issue with the invoice
12421,6.694611562,3.828641396,0,No issue with the invoice
12422,6.690295544,3.688879454,0,No issue with the invoice
12423,7.528498419,4.836281907,0,No issue with the invoice
12424,7.474182105,3.433987204,0,No issue with the invoice
12425,6.656983561,3.610917913,0,No issue with the invoice
12426,6.369438547,3.433987204,0,No issue with the invoice
12427,6.717562828,3.465735903,0,No issue with the invoice
12428,8.981865132,5.686975356,0,No issue with the invoice
12429,8.229884383,4.584967479,0,No issue with the invoice
12430,5.550631295,2.48490665,0,No issue with the invoice
12431,8.777778952,5.468060141,0,No issue with the invoice
12432,8.529185001,4.691347882,0,No issue with the invoice
12433,9.501282375,6.042632834,0,No issue with the invoice
12434,6.693497135,3.931825633,0,No issue with the invoice
12435,8.965831448,3.610917913,0,No issue with the invoice
12436,6.234430333,2.833213344,0,No issue with the invoice
12437,8.507629606,5.303304908,0,No issue with the invoice
12438,7.975169255,4.59511985,0,No issue with the invoice
12441,5.162211234,2.48490665,0,No issue with the invoice
12442,5.153638355,2.564949357,0,No issue with the invoice
12444,8.518484358,5.18178355,0,No issue with the invoice
12445,4.900820428,1.609437912,0,No issue with the invoice
12446,6.911059813,4.077537444,0,No issue with the invoice
12447,6.168543217,3.295836866,0,No issue with the invoice
12448,6.110247083,3.135494216,0,No issue with the invoice
12449,8.310978043,5.257495372,0,No issue with the invoice
12450,5.292701628,2.197224577,0,No issue with the invoice
12451,9.109029424,5.872117789,0,No issue with the invoice
12452,6.067429722,3.135494216,0,No issue with the invoice
12453,6.562571204,3.784189634,0,No issue with the invoice
12454,8.168866164,2.772588722,0,No issue with the invoice
12455,7.811106657,4.510859507,0,No issue with the invoice
12456,8.06527778,4.836281907,0,No issue with the invoice
12457,7.768207667,4.158883083,0,No issue with the invoice
12458,6.854776354,3.663561646,0,No issue with the invoice
12461,6.718868216,3.583518938,0,No issue with the invoice
12462,7.082204262,4.143134726,0,No issue with the invoice
12463,7.20472905,4.430816799,0,No issue with the invoice
12464,7.100893128,3.401197382,0,No issue with the invoice
12465,6.610951732,3.871201011,0,No issue with the invoice
12468,6.593783987,3.663561646,0,No issue with the invoice
12471,9.894701569,6.133398043,0,No issue with the invoice
12472,8.790742363,5.828945618,0,No issue with the invoice
12473,8.278821783,5.129898715,0,No issue with the invoice
12474,8.906093864,6.052089169,0,No issue with the invoice
12475,6.585316117,3.610917913,0,No issue with the invoice
12476,8.82723638,5.455321115,0,No issue with the invoice
12477,9.489542088,5.707110265,0,No issue with the invoice
12478,6.525014995,3.610917913,0,No issue with the invoice
12479,6.269475,3.465735903,0,No issue with the invoice
12480,8.096400209,5.043425117,0,No issue with the invoice
12481,8.630043191,5.384495063,0,No issue with the invoice
12483,7.818422227,4.33073334,0,No issue with the invoice
12484,8.421281231,5.84932478,0,No issue with the invoice
12488,7.169857971,4.025351691,0,No issue with the invoice
12489,5.816902805,2.772588722,0,No issue with the invoice
12490,8.597653658,5.505331536,0,No issue with the invoice
12491,6.134265346,3.295836866,0,No issue with the invoice
12492,5.576744241,3.044522438,0,No issue with the invoice
12493,6.074748151,3.135494216,0,No issue with the invoice
12494,7.128576135,4.356708827,0,No issue with the invoice
12497,6.950910549,2.708050201,0,No issue with the invoice
12498,6.003146052,3.17805383,0,No issue with the invoice
12500,8.356747406,4.127134385,0,No issue with the invoice
12501,7.682662154,5.010635294,0,No issue with the invoice
12502,8.222787231,4.997212274,0,No issue with the invoice
12504,6.180120168,2.302585093,0,No issue with the invoice
12506,4.310799125,3.17805383,0,No issue with the invoice
12507,7.174578817,3.135494216,0,No issue with the invoice
12508,5.98963788,4.248495242,0,No issue with the invoice
12509,5.178970609,2.079441542,0,No issue with the invoice
12510,6.89118881,3.526360525,0,No issue with the invoice
12512,4.934689737,3.555348061,0,No issue with the invoice
12513,6.418837907,3.583518938,0,No issue with the invoice
12514,6.926262951,3.951243719,0,No issue with the invoice
12515,5.95246381,2.833213344,0,No issue with the invoice
12516,7.18011557,3.295836866,0,No issue with the invoice
12517,7.825580832,5.65248918,0,No issue with the invoice
12518,7.629436465,4.828313737,0,No issue with the invoice
12519,5.834342791,2.944438979,0,No issue with the invoice
12520,7.876737128,5.030437921,0,No issue with the invoice
12521,6.398062347,3.663561646,0,No issue with the invoice
12522,5.266413818,2.564949357,0,No issue with the invoice
12523,7.490400974,4.672828834,0,No issue with the invoice
12524,8.408877202,4.976733742,0,No issue with the invoice
12526,7.183612715,4.276666119,0,No issue with the invoice
12527,5.85710424,2.944438979,0,No issue with the invoice
12528,7.567593835,4.532599493,0,No issue with the invoice
12530,7.416546835,4.204692619,0,No issue with the invoice
12531,4.838026416,2.890371758,0,No issue with the invoice
12532,5.860301776,2.833213344,0,No issue with the invoice
12534,6.994098099,4.158883083,0,No issue with the invoice
12535,6.575563867,3.555348061,0,No issue with the invoice
12536,9.441676671,5.568344504,0,No issue with the invoice
12538,5.899760358,3.091042453,0,No issue with the invoice
12539,8.62503363,5.613128106,0,No issue with the invoice
12540,9.503102519,6.171700597,0,No issue with the invoice
12541,6.889774591,3.970291914,0,No issue with the invoice
12544,5.923453336,2.995732274,0,No issue with the invoice
12545,6.909144314,3.931825633,0,No issue with the invoice
12546,7.058328137,4.248495242,0,No issue with the invoice
12547,5.341376856,2.197224577,0,No issue with the invoice
12548,4.566429358,1.791759469,0,No issue with the invoice
12550,6.872987835,4.060443011,0,No issue with the invoice
12551,5.129898715,2.397895273,0,No issue with the invoice
12552,6.084089306,3.044522438,0,No issue with the invoice
